iter	MultiClass
0	1.034047853
1	0.9791880687
2	0.9422865767
3	0.9015662265
4	0.8642850656
5	0.8277878647
6	0.7939498281
7	0.7653230559
8	0.7388888515
9	0.7140600129
10	0.6929248143
11	0.6704501388
12	0.6513082037
13	0.6305793907
14	0.6158518473
15	0.594421726
16	0.578305652
17	0.5647539782
18	0.5533809209
19	0.5378617597
20	0.5251709397
21	0.5112173762
22	0.5000811512
23	0.4886017923
24	0.4784021776
25	0.466923915
26	0.4580574929
27	0.4463656129
28	0.4363403375
29	0.4278793111
30	0.4213648342
31	0.4149542139
32	0.4074465128
33	0.4023338162
34	0.3956325485
35	0.3869371328
36	0.3803793319
37	0.3716966254
38	0.3653652124
39	0.3592556014
40	0.3541402819
41	0.3494161443
42	0.3441763162
43	0.3411216401
44	0.3365292581
45	0.3318109952
46	0.3265053248
47	0.3219313336
48	0.3168651365
49	0.3130123282
50	0.3080268834
51	0.3044168925
52	0.299047903
53	0.2925264968
54	0.2894723686
55	0.2862127288
56	0.2816069566
57	0.2793053794
58	0.2738687036
59	0.2714901517
60	0.2681715726
61	0.2646548134
62	0.2602695051
63	0.2564659395
64	0.2531028288
65	0.249547261
66	0.2470870387
67	0.243727104
68	0.2399639491
69	0.2380437065
70	0.2333177506
71	0.2295933323
72	0.2260135136
73	0.2232502171
74	0.2200193072
75	0.2172289688
76	0.2149255097
77	0.2131336844
78	0.2107470708
79	0.2068876353
80	0.2046316721
81	0.2013244964
82	0.1979145219
83	0.1954262153
84	0.1930501947
85	0.1901488735
86	0.188310801
87	0.1857806945
88	0.1828855358
89	0.1799182369
90	0.1777752296
91	0.1755151107
92	0.1734805993
93	0.17107299
94	0.1684911162
95	0.1657111245
96	0.1637120199
97	0.161787427
98	0.1605336098
99	0.1586059788
