iter	Passed	Remaining
0	149	14764
1	158	7765
2	166	5386
3	173	4163
4	180	3436
5	187	2932
6	193	2567
7	199	2297
8	205	2073
9	211	1900
10	217	1757
11	222	1634
12	229	1535
13	235	1447
14	241	1369
15	248	1302
16	254	1240
17	261	1193
18	268	1145
19	276	1106
20	283	1067
21	289	1026
22	295	990
23	301	954
24	307	922
25	313	893
26	319	864
27	328	845
28	335	820
29	342	798
30	349	777
31	357	759
32	364	739
33	370	719
34	378	702
35	385	686
36	394	671
37	406	663
38	415	649
39	570	855
40	739	1064
41	867	1197
42	915	1214
43	954	1215
44	1016	1242
45	1157	1358
46	1195	1348
47	1230	1333
48	1266	1318
49	1318	1318
50	1372	1318
51	1409	1301
52	1429	1268
53	1448	1233
54	1465	1199
55	1482	1165
56	1500	1131
57	1516	1097
58	1532	1065
59	1549	1032
60	1566	1001
61	1583	970
62	1606	943
63	1630	917
64	1663	895
65	1715	883
66	1744	859
67	1772	834
68	1789	803
69	1812	776
70	1832	748
71	1851	719
72	1868	691
73	1885	662
74	1903	634
75	1920	606
76	1932	577
77	1944	548
78	1955	519
79	1972	493
80	1989	466
81	2007	440
82	2025	414
83	2049	390
84	2067	364
85	2080	338
86	2093	312
87	2104	287
88	2118	261
89	2130	236
90	2143	211
91	2157	187
92	2169	163
93	2180	139
94	2193	115
95	2205	91
96	2218	68
97	2229	45
98	2240	22
99	2252	0
